ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_PLMN_NAME_316	26680	Claro	12	
STR_PLMN_NAME_317	26681	SETAR GSM	20	
STR_PLMN_NAME_318	26682	BTL	8	
STR_PLMN_NAME_319	26683	M3	6	
STR_PLMN_NAME_320	26684	VIVA	10	
STR_PLMN_NAME_321	26685	EMOVIL	14	
STR_PLMN_NAME_322	26686	Telecel	16	
STR_PLMN_NAME_323	26687	TIM BRASIL	22	
STR_PLMN_NAME_324	26688	VIVO	10	
STR_PLMN_NAME_325	26689	Sercomtel	20	
STR_PLMN_NAME_326	26690	Brasil Telecom	30	
STR_PLMN_NAME_327	26691	AMAZONIA	18	
STR_PLMN_NAME_328	26692	Oi	6	
STR_PLMN_NAME_329	26693	CTBC	10	
STR_PLMN_NAME_330	26694	FIRST	12	
STR_PLMN_NAME_331	26695	Fido	10	
STR_PLMN_NAME_332	26696	DMTS	10	
STR_PLMN_NAME_333	26697	ROGERS	14	
STR_PLMN_NAME_334	26698	ENTEL	12	
STR_PLMN_NAME_335	26699	CLARO CHL	20	
STR_PLMN_NAME_336	26700	Tigo	10	
STR_PLMN_NAME_337	26701	Comcel	14	
STR_PLMN_NAME_338	26702	I.C.E.	14	
STR_PLMN_NAME_339	26703	Cubacel	16	
STR_PLMN_NAME_340	26704	CLARO DOM	20	
STR_PLMN_NAME_341	26705	PORTA GSM	20	
STR_PLMN_NAME_342	26706	CLARO SLV	20	
STR_PLMN_NAME_343	26707	TELEMOVIL	20	
STR_PLMN_NAME_344	26708	CLARO HND	20	
STR_PLMN_NAME_345	26709	CELTELHND	20	
STR_PLMN_NAME_346	26710	F-Orange	18	
STR_PLMN_NAME_347	26711	ONLY	10	
STR_PLMN_NAME_348	26712	TELCEL	14	
STR_PLMN_NAME_349	26713	ClaroGTM	18	
STR_PLMN_NAME_350	26714	TELCELL GSM	24	
STR_PLMN_NAME_351	26715	CT GSM	14	
STR_PLMN_NAME_352	26716	ANT	8	
STR_PLMN_NAME_353	26717	ClaroNIC	18	
STR_PLMN_NAME_354	26718	Móvil	12	
STR_PLMN_NAME_355	26719	VOX	8	
STR_PLMN_NAME_356	26720	CLARO PER	20	
